Ciclo;CRS;Município;Código do IBGE;Ano;Número da armadilha;Ovos;Link;Latitude;Longitude;Resultado;Semana;Lat_lng
Janeiro;;Montes Claros;3143302;2024;1;44;Montes Claros_1;-16,66092;-43,85172;Positiva;3;-16.66092,-43.85172
Janeiro;;Montes Claros;3143302;2024;2;0;Montes Claros_2;-16,66048;-43,84899;Negativa;3;-16.66048,-43.84899
Janeiro;;Montes Claros;3143302;2024;3;0;Montes Claros_3;-16,66396;-43,85296;Negativa;3;-16.66396,-43.85296
Janeiro;;Montes Claros;3143302;2024;4;0;Montes Claros_4;-16,66307;-43,84981;Negativa;3;-16.66307,-43.84981
Janeiro;;Montes Claros;3143302;2024;5;0;Montes Claros_5;-16,66355;-43,84723;Negativa;3;-16.66355,-43.84723
Janeiro;;Montes Claros;3143302;2024;6;0;Montes Claros_6;-16,66624;-43,85150;Negativa;3;-16.66624,-43.85150
Janeiro;;Montes Claros;3143302;2024;7;0;Montes Claros_7;-16,67015;-43,85810;Negativa;3;-16.67015,-43.85810
Janeiro;;Montes Claros;3143302;2024;8;23;Montes Claros_8;-16,66881;-43,85551;Positiva;3;-16.66881,-43.85551
Janeiro;;Montes Claros;3143302;2024;9;53;Montes Claros_9;-16,66959;-43,85271;Positiva;3;-16.66959,-43.85271
Janeiro;;Montes Claros;3143302;2024;10;0;Montes Claros_10;-16,66951;-43,84057;Negativa;3;-16.66951,-43.84057
Janeiro;;Montes Claros;3143302;2024;11;164;Montes Claros_11;-16,66933;-43,82818;Positiva;3;-16.66933,-43.82818
Janeiro;;Montes Claros;3143302;2024;12;126;Montes Claros_12;-16,67140;-43,85490;Positiva;3;-16.67140,-43.85490
Janeiro;;Montes Claros;3143302;2024;13;0;Montes Claros_13;-16,67157;-43,85081;Negativa;3;-16.67157,-43.85081
Janeiro;;Montes Claros;3143302;2024;14;0;Montes Claros_14;-16,67248;-43,83978;Negativa;3;-16.67248,-43.83978
Janeiro;;Montes Claros;3143302;2024;15;0;Montes Claros_15;-16,67233;-43,82908;Negativa;3;-16.67233,-43.82908
Janeiro;;Montes Claros;3143302;2024;16;57;Montes Claros_16;-16,67214;-43,82517;Positiva;3;-16.67214,-43.82517
Janeiro;;Montes Claros;3143302;2024;17;0;Montes Claros_17;-16,67301;-43,82240;Negativa;3;-16.67301,-43.82240
Janeiro;;Montes Claros;3143302;2024;18;0;Montes Claros_18;-16,67595;-43,87563;Negativa;3;-16.67595,-43.87563
Janeiro;;Montes Claros;3143302;2024;19;0;Montes Claros_19;-16,67468;-43,87304;Negativa;3;-16.67468,-43.87304
Janeiro;;Montes Claros;3143302;2024;20;148;Montes Claros_20;-16,67545;-43,85485;Positiva;3;-16.67545,-43.85485
Janeiro;;Montes Claros;3143302;2024;21;86;Montes Claros_21;-16,67623;-43,83801;Positiva;3;-16.67623,-43.83801
Janeiro;;Montes Claros;3143302;2024;22;5;Montes Claros_22;-16,67656;-43,83522;Positiva;3;-16.67656,-43.83522
Janeiro;;Montes Claros;3143302;2024;23;149;Montes Claros_23;-16,67543;-43,82816;Positiva;3;-16.67543,-43.82816
Janeiro;;Montes Claros;3143302;2024;24;0;Montes Claros_24;-16,67581;-43,82484;Negativa;3;-16.67581,-43.82484
Janeiro;;Montes Claros;3143302;2024;25;82;Montes Claros_25;-16,67809;-43,87594;Positiva;3;-16.67809,-43.87594
Janeiro;;Montes Claros;3143302;2024;26;19;Montes Claros_26;-16,67819;-43,87309;Positiva;3;-16.67819,-43.87309
Janeiro;;Montes Claros;3143302;2024;27;93;Montes Claros_27;-16,67842;-43,83770;Positiva;3;-16.67842,-43.83770
Janeiro;;Montes Claros;3143302;2024;28;0;Montes Claros_28;-16,67906;-43,83375;Negativa;3;-16.67906,-43.83375
Janeiro;;Montes Claros;3143302;2024;29;2;Montes Claros_29;-16,67864;-43,82784;Positiva;3;-16.67864,-43.82784
Janeiro;;Montes Claros;3143302;2024;30;0;Montes Claros_30;-16,67826;-43,82475;Negativa;3;-16.67826,-43.82475
Janeiro;;Montes Claros;3143302;2024;31;0;Montes Claros_31;-16,67912;-43,82075;Negativa;3;-16.67912,-43.82075
Janeiro;;Montes Claros;3143302;2024;32;10;Montes Claros_32;-16,68079;-43,83728;Positiva;3;-16.68079,-43.83728
Janeiro;;Montes Claros;3143302;2024;33;0;Montes Claros_33;-16,68246;-43,83430;Negativa;3;-16.68246,-43.83430
Janeiro;;Montes Claros;3143302;2024;34;73;Montes Claros_34;-16,68153;-43,83117;Positiva;3;-16.68153,-43.83117
Janeiro;;Montes Claros;3143302;2024;35;4;Montes Claros_35;-16,68138;-43,82843;Positiva;3;-16.68138,-43.82843
Janeiro;;Montes Claros;3143302;2024;36;0;Montes Claros_36;-16,68189;-43,82564;Negativa;3;-16.68189,-43.82564
Janeiro;;Montes Claros;3143302;2024;37;0;Montes Claros_37;-16,68045;-43,82308;Negativa;3;-16.68045,-43.82308
